-0.21172	-0.13369	-0.35327	-0.37355	-0.39518	-0.41584	-0.42457	-0.26319	-0.24321	-0.23104	-0.20962	-0.21065	-0.2111
-0.2126	-0.13416	-0.3536	-0.37227	-0.39585	-0.41458	-0.42101	-0.26216	-0.2457	-0.22837	-0.21124	-0.21103	-0.21409
-0.20979	-0.13348	-0.354	-0.37169	-0.39435	-0.41701	-0.42556	-0.26387	-0.24628	-0.23156	-0.21172	-0.21059	-0.21026
-0.21091	-0.13157	-0.35305	-0.37387	-0.39619	-0.41727	-0.42474	-0.26415	-0.24373	-0.22903	-0.20806	-0.21271	-0.21137
-0.21017	-0.13363	-0.35456	-0.37427	-0.392	-0.41791	-0.42398	-0.2627	-0.24549	-0.22964	-0.21079	-0.21319	-0.2125
-0.2116	-0.13467	-0.35415	-0.37315	-0.39673	-0.41699	-0.42322	-0.26262	-0.24898	-0.22798	-0.21166	-0.2126	-0.2086
-0.21022	-0.13536	-0.35392	-0.37241	-0.39448	-0.41696	-0.42335	-0.26177	-0.24421	-0.22849	-0.2107	-0.21373	-0.2106
-0.20938	-0.13342	-0.35447	-0.37432	-0.39525	-0.41683	-0.42232	-0.25973	-0.24446	-0.22667	-0.20999	-0.21459	-0.21316
0.112583077	0.124443846	0.111569231	0.11121	0.103506154	0.10003	0.106254615	0.171313846	0.152971538	0.130247692	0.112041538	0.112753846	0.111191538
0.113142308	0.126188462	0.113106923	0.107402308	0.106258462	0.098974615	0.102813077	0.170445385	0.152602308	0.134097692	0.11119	0.111152308	0.111269231
0.111742308	0.127902308	0.110364615	0.107626923	0.104012308	0.100801538	0.104817692	0.169974615	0.153896154	0.132636154	0.111602308	0.113069231	0.111546923
0.111218462	0.126305385	0.111913846	0.108277692	0.103943846	0.100234615	0.107036923	0.169216923	0.154380769	0.131294615	0.113405385	0.112786923	0.112085385
0.112636154	0.126423846	0.112727692	0.109256154	0.104043846	0.101257692	0.105703846	0.167846923	0.150127692	0.132746923	0.114218462	0.114407692	0.110852308
0.112781538	0.125409231	0.112551538	0.109765385	0.100050769	0.099873846	0.104713846	0.168320769	0.154484615	0.132478462	0.112981538	0.110972308	0.111676923
0.028130769	0.026647692	0.00671	0.005978462	0.000817692	0.010057692	-0.024300769	-0.113257692	0.052876923	0.039438462	0.024748462	0.026496923	0.023351538
-0.060032308	-0.072623846	-0.098026923	-0.093560769	-0.093793077	-0.087333077	-0.102119231	-0.221942308	-0.22265	-0.050779231	-0.061002308	-0.057475385	-0.059913077
-0.144365385	-0.168206923	-0.199433846	-0.193577692	-0.18642	-0.175238462	-0.183319231	-0.279846923	-0.319915385	-0.321436154	-0.148183846	-0.144399231	-0.148354615
-0.493946923	-0.54085	-0.384763077	-0.372708462	-0.36141	-0.348258462	-0.336680769	-0.398451538	-0.427964615	-0.460894615	-0.494411538	-0.493874615	-0.494536154
